装备信息,,,,,,表示套装在对应职业下的排列顺序，排序越小越靠前,,,,,,,,,,,,,,,,,,
装备名称,装备部位,装备 ID,对应套装名称,对应套装 ID,套装数量,鬼泣,狂战士,剑魂,阿修罗,气功师,散打,漫游枪手,枪炮师,元素师,魔道学者,圣骑士,正义审判者,驱魔师,除恶者,蓝拳使者,暗殿骑士,契魔者,流浪武士,
邪龙的精髓长靴,鞋子,2000270061,邪龙的精髓轻甲,7,5,,,,,,,,,,,,,,,,,,,
重力之契胸甲,上衣,2000070064,重力之契轻甲,8,5,,,,,,,,,,,,,,,,,,,
重力之契绑腿,下装,2000120064,重力之契轻甲,8,5,,,,,,,,,,,,,,,,,,,
重力之契护肩,头肩,2000170056,重力之契轻甲,8,5,,,,,,,,,,,,,,,,,,,
重力之契腰带,腰带,2000220056,重力之契轻甲,8,5,,,,,,,,,,,,,,,,,,,
重力之契长靴,鞋子,2000270060,重力之契轻甲,8,5,,,,,,,,,,,,,,,,,,,
冰之力机械链甲,上衣,1900070000,自然之怒,9,5,,,,,,,,,,,,,,,,,,,
暗之力机械绑腿,下装,1900120000,自然之怒,9,5,,,,,,,,,,,,,,,,,,,
火之力机械护肩,头肩,1900170000,自然之怒,9,5,,,,,,,,,,,,,,,,,,,
光之力机械腰带,腰带,1900220000,自然之怒,9,5,,,,,,,,,,,,,,,,,,,
风之力机械鞋子,鞋子,1900270000,自然之怒,9,5,,,,,,,,,,,,,,,,,,,
古拉德的火焰胸甲,上衣,2000080060,古拉德的火焰重甲,10,5,,,,,,,,,,,,,,,,,,,
古拉德的火焰胫甲,下装,2000130060,古拉德的火焰重甲,10,5,,,,,,,,,,,,,,,,,,,
古拉德的火焰肩甲,头肩,2000180053,古拉德的火焰重甲,10,5,,,,,,,,,,,,,,,,,,,
古拉德的火焰腰带,腰带,2000230053,古拉德的火焰重甲,10,5,,,,,,,,,,,,,,,,,,,
古拉德的火焰短靴,鞋子,2000280057,古拉德的火焰重甲,10,5,,,,,,,,,,,,,,,,,,,
树魔的野熊胸甲,上衣,2000080059,树魔的野熊重甲,11,5,,,,,,,,,,,,,,,,,,,
树魔的野熊绑腿,下装,2000130059,树魔的野熊重甲,11,5,,,,,,,,,,,,,,,,,,,
树魔的野熊头盔,头肩,2000180052,树魔的野熊重甲,11,5,,,,,,,,,,,,,,,,,,,
树魔的野熊腰带,腰带,2000230052,树魔的野熊重甲,11,5,,,,,,,,,,,,,,,,,,,
树魔的野熊长靴,鞋子,2000280056,树魔的野熊重甲,11,5,,,,,,,,,,,,,,,,,,,
巨人金直间上衣,上衣,1900080000,蜘蛛王子之魂,12,5,,,,,,,,,,,,,,,,,,,
红绿橙蛛下装,下装,1900130000,蜘蛛王子之魂,12,5,,,,,,,,,,,,,,,,,,,
漏斗蛛护肩,头肩,1900180000,蜘蛛王子之魂,12,5,,,,,,,,,,,,,,,,,,,
黑寡妇腰带,腰带,1900230000,蜘蛛王子之魂,12,5,,,,,,,,,,,,,,,,,,,
梦幻食鸟蛛鞋,鞋子,1900280000,蜘蛛王子之魂,12,5,,,,,,,,,,,,,,,,,,,
信念的守护胸甲,上衣,2000090132,信念的守护,13,5,,,,,,,,,,,,,,,,,,,
信念的守护护腿,下装,2000140133,信念的守护,13,5,,,,,,,,,,,,,,,,,,,
信念的守护护肩,头肩,2000190124,信念的守护,13,5,,,,,,,,,,,,,,,,,,,
信念的守护腰带,腰带,2000240125,信念的守护,13,5,,,,,,,,,,,,,,,,,,,
信念的守护短靴,鞋子,2000290133,信念的守护,13,5,,,,,,,,,,,,,,,,,,,
波罗丁的天祈胸甲,上衣,2000090131,波罗丁的天祈板甲,14,5,,,,,,,,,,,,,,,,,,,
波罗丁的天祈绑腿,下装,2000140132,波罗丁的天祈板甲,14,5,,,,,,,,,,,,,,,,,,,
波罗丁的天祈头盔,头肩,2000190123,波罗丁的天祈板甲,14,5,,,,,,,,,,,,,,,,,,,
波罗丁的天祈腰带,腰带,2000240124,波罗丁的天祈板甲,14,5,,,,,,,,,,,,,,,,,,,
波罗丁的天祈长靴,鞋子,2000290132,波罗丁的天祈板甲,14,5,,,,,,,,,,,,,,,,,,,
风暴之甲,上衣,1900090000,战斗之风,15,5,,,,,,,,,,,,,,,,,,,
武力飓风,下装,1900140000,战斗之风,15,5,,,,,,,,,,,,,,,,,,,
勇气激流,头肩,1900190000,战斗之风,15,5,,,,,,,,,,,,,,,,,,,
战意旋涡,腰带,1900240000,战斗之风,15,5,,,,,,,,,,,,,,,,,,,
涌动风潮,鞋子,1900290000,战斗之风,15,5,,,,,,,,,,,,,,,,,,,
深海之王-幻影：青,项链,2000300083,深海之王：青,16,3,,,,,,,,,,,,,,,,,,,
深海之王-痛苦：青,手镯,2000310079,深海之王：青,16,3,,,,,,,,,,,,,,,,,,,
深海之王-支配：青,戒指,2000320083,深海之王：青,16,3,,,,,,,,,,,,,,,,,,,
深海之王-幻影：赤,项链,2000300082,深海之王：赤,17,3,,,,,,,,,,,,,,,,,,,
深海之王-痛苦：赤,手镯,2000310078,深海之王：赤,17,3,,,,,,,,,,,,,,,,,,,
深海之王-支配：赤,戒指,2000320082,深海之王：赤,17,3,,,,,,,,,,,,,,,,,,,
踌躇者的天象仪项链,项链,2000300070,夜之迷途,18,3,,,,,,,,,,,,,,,,,,,
踌躇者的测量手镯,手镯,2000310067,夜之迷途,18,3,,,,,,,,,,,,,,,,,,,
踌躇者的罗盘戒指,戒指,2000320067,夜之迷途,18,3,,,,,,,,,,,,,,,,,,,
史苏克的四滴眼泪,项链,2000300056,史苏克的八滴眼泪,19,3,,,,,,,,,,,,,,,,,,,
史苏克的三滴眼泪,手镯,2000310054,史苏克的八滴眼泪,19,3,,,,,,,,,,,,,,,,,,,
史苏克的一滴眼泪,戒指,2000320055,史苏克的八滴眼泪,19,3,,,,,,,,,,,,,,,,,,,
蓝色真谛求知项坠,项链,2000300055,蓝色真谛求知,20,3,,,,,,,,,,,,,,,,,,,
蓝色真谛求知手镯,手镯,2000310053,蓝色真谛求知,20,3,,,,,,,,,,,,,,,,,,,
蓝色真谛求知之戒,戒指,2000320054,蓝色真谛求知,20,3,,,,,,,,,,,,,,,,,,,
时空主宰者项链,项链,1900300001,时光主宰者,21,3,,,,,,,,,,,,,,,,,,,
时空主宰者手镯,手镯,1900310000,时光主宰者,21,3,,,,,,,,,,,,,,,,,,,
时空主宰者戒指,戒指,1900320001,时光主宰者,21,3,,,,,,,,,,,,,,,,,,,
浩海：冰之力机械链甲,上衣,2000070276,浩海：自然之怒,22,5,,,,,,,,,,,,,,,,,,,
浩海：暗之力机械绑腿,下装,2000120281,浩海：自然之怒,22,5,,,,,,,,,,,,,,,,,,,
浩海：火之力机械护肩,头肩,2000170258,浩海：自然之怒,22,5,,,,,,,,,,,,,,,,,,,
浩海：光之力机械腰带,腰带,2000220257,浩海：自然之怒,22,5,,,,,,,,,,,,,,,,,,,
浩海：风之力机械鞋子,鞋子,2000270270,浩海：自然之怒,22,5,,,,,,,,,,,,,,,,,,,
浩海：重力之契胸甲,上衣,2000070274,浩海：重力之契轻甲,23,5,,,,,,,,,,,,,,,,,,,
浩海：重力之契绑腿,下装,2000120279,浩海：重力之契轻甲,23,5,,,,,,,,,,,,,,,,,,,
浩海：重力之契护肩,头肩,2000170256,浩海：重力之契轻甲,23,5,,,,,,,,,,,,,,,,,,,
浩海：重力之契腰带,腰带,2000220255,浩海：重力之契轻甲,23,5,,,,,,,,,,,,,,,,,,,
浩海：重力之契长靴,鞋子,2000270268,浩海：重力之契轻甲,23,5,,,,,,,,,,,,,,,,,,,
浩海：巨人金直间上衣,上衣,2000080280,浩海：蜘蛛王子之魂,24,5,,,,,,,,,,,,,,,,,,,
浩海：红绿橙蛛下装,下装,2000130280,浩海：蜘蛛王子之魂,24,5,,,,,,,,,,,,,,,,,,,
浩海：漏斗蛛护肩,头肩,2000180274,浩海：蜘蛛王子之魂,24,5,,,,,,,,,,,,,,,,,,,
浩海：黑寡妇腰带,腰带,2000230263,浩海：蜘蛛王子之魂,24,5,,,,,,,,,,,,,,,,,,,
浩海：梦幻食鸟蛛鞋,鞋子,2000280278,浩海：蜘蛛王子之魂,24,5,,,,,,,,,,,,,,,,,,,
浩海：风暴之甲,上衣,2000090285,浩海：战斗之风,25,5,,,,,,,,,,,,,,,,,,,
浩海：武力飓风,下装,2000140280,浩海：战斗之风,25,5,,,,,,,,,,,,,,,,,,,
浩海：勇气激流,头肩,2000190263,浩海：战斗之风,25,5,,,,,,,,,,,,,,,,,,,
浩海：战意旋涡,腰带,2000240265,浩海：战斗之风,25,5,,,,,,,,,,,,,,,,,,,
浩海：涌动风潮,鞋子,2000290280,浩海：战斗之风,25,5,,,,,,,,,,,,,,,,,,,
浩海：信念的守护胸甲,上衣,2000090284,浩海：信念的守护,26,5,,,,,,,,,,,,,,,,,,,
浩海：信念的守护护腿,下装,2000140279,浩海：信念的守护,26,5,,,,,,,,,,,,,,,,,,,
浩海：信念的守护护肩,头肩,2000190262,浩海：信念的守护,26,5,,,,,,,,,,,,,,,,,,,
浩海：信念的守护腰带,腰带,2000240264,浩海：信念的守护,26,5,,,,,,,,,,,,,,,,,,,
浩海：信念的守护短靴,鞋子,2000290279,浩海：信念的守护,26,5,,,,,,,,,,,,,,,,,,,
浩海：邪龙的精髓胸甲,上衣,2000070275,浩海：邪龙的精髓轻甲,27,5,,,,,,,,,,,,,,,,,,,
浩海：邪龙的精髓胫甲,下装,2000120280,浩海：邪龙的精髓轻甲,27,5,,,,,,,,,,,,,,,,,,,
浩海：邪龙的精髓肩甲,头肩,2000170257,浩海：邪龙的精髓轻甲,27,5,,,,,,,,,,,,,,,,,,,
浩海：邪龙的精髓腰带,腰带,2000220256,浩海：邪龙的精髓轻甲,27,5,,,,,,,,,,,,,,,,,,,
浩海：邪龙的精髓长靴,鞋子,2000270269,浩海：邪龙的精髓轻甲,27,5,,,,,,,,,,,,,,,,,,,
浩海：舰队司令战术外套,上衣,2000060295,浩海：威武之师战略,28,5,,,,,,,,,,,,,,,,,,,
浩海：大将军战术长裤,下装,2000110294,浩海：威武之师战略,28,5,,,,,,,,,,,,,,,,,,,
浩海：中士战术护肩,头肩,2000160348,浩海：威武之师战略,28,5,,,,,,,,,,,,,,,,,,,
浩海：舰长战术腰带,腰带,2000210363,浩海：威武之师战略,28,5,,,,,,,,,,,,,,,,,,,
浩海：上校战术鞋子,鞋子,2000260301,浩海：威武之师战略,28,5,,,,,,,,,,,,,,,,,,,
浩海：天翎逐月长袍,上衣,2000050296,浩海：天翎逐月战袍,29,5,,,,,,,,,,,,,,,,,,,
浩海：天翎逐月长裤,下装,2000100297,浩海：天翎逐月战袍,29,5,,,,,,,,,,,,,,,,,,,
浩海：天翎逐月护肩,头肩,2000150278,浩海：天翎逐月战袍,29,5,,,,,,,,,,,,,,,,,,,
浩海：天翎逐月腰带,腰带,2000200280,浩海：天翎逐月战袍,29,5,,,,,,,,,,,,,,,,,,,
浩海：天翎逐月长靴,鞋子,2000250290,浩海：天翎逐月战袍,29,5,,,,,,,,,,,,,,,,,,,
浩海：树魔的野熊胸甲,上衣,2000080278,浩海：树魔的野熊重甲,30,5,,,,,,,,,,,,,,,,,,,
浩海：树魔的野熊绑腿,下装,2000130278,浩海：树魔的野熊重甲,30,5,,,,,,,,,,,,,,,,,,,
浩海：树魔的野熊头盔,头肩,2000180272,浩海：树魔的野熊重甲,30,5,,,,,,,,,,,,,,,,,,,
浩海：树魔的野熊腰带,腰带,2000230261,浩海：树魔的野熊重甲,30,5,,,,,,,,,,,,,,,,,,,
浩海：树魔的野熊长靴,鞋子,2000280276,浩海：树魔的野熊重甲,30,5,,,,,,,,,,,,,,,,,,,
浩海：银月少女上衣,上衣,2000050295,浩海：少女套装,31,5,,,,,,,,,,,,,,,,,,,
浩海：银月少女短裙,下装,2000100296,浩海：少女套装,31,5,,,,,,,,,,,,,,,,,,,
浩海：银月少女围巾,头肩,2000150277,浩海：少女套装,31,5,,,,,,,,,,,,,,,,,,,
浩海：银月少女腰带,腰带,2000200279,浩海：少女套装,31,5,,,,,,,,,,,,,,,,,,,
浩海：银月少女长靴,鞋子,2000250289,浩海：少女套装,31,5,,,,,,,,,,,,,,,,,,,
浩海：灵思者的火龙胸甲,上衣,2000060294,浩海：灵思者的火龙皮甲,32,5,,,,,,,,,,,,,,,,,,,
浩海：灵思者的火龙护腿,下装,2000110293,浩海：灵思者的火龙皮甲,32,5,,,,,,,,,,,,,,,,,,,
浩海：灵思者的火龙肩甲,头肩,2000160347,浩海：灵思者的火龙皮甲,32,5,,,,,,,,,,,,,,,,,,,
浩海：灵思者的火龙腰带,腰带,2000210362,浩海：灵思者的火龙皮甲,32,5,,,,,,,,,,,,,,,,,,,
浩海：灵思者的火龙长靴,鞋子,2000260300,浩海：灵思者的火龙皮甲,32,5,,,,,,,,,,,,,,,,,,,
浩海：光之颂歌上衣,上衣,2000050297,浩海：光之颂歌,33,5,,,,,,,,,,,,,,,,,,,
浩海：光之颂歌下装,下装,2000100298,浩海：光之颂歌,33,5,,,,,,,,,,,,,,,,,,,
浩海：光之颂歌护肩,头肩,2000150279,浩海：光之颂歌,33,5,,,,,,,,,,,,,,,,,,,
浩海：光之颂歌腰带,腰带,2000200281,浩海：光之颂歌,33,5,,,,,,,,,,,,,,,,,,,
浩海：光之颂歌鞋子,鞋子,2000250291,浩海：光之颂歌,33,5,,,,,,,,,,,,,,,,,,,
浩海：古拉德的火焰胸甲,上衣,2000080279,浩海：古拉德的火焰重甲,34,5,,,,,,,,,,,,,,,,,,,
浩海：古拉德的火焰胫甲,下装,2000130279,浩海：古拉德的火焰重甲,34,5,,,,,,,,,,,,,,,,,,,
浩海：古拉德的火焰肩甲,头肩,2000180273,浩海：古拉德的火焰重甲,34,5,,,,,,,,,,,,,,,,,,,
浩海：古拉德的火焰腰带,腰带,2000230262,浩海：古拉德的火焰重甲,34,5,,,,,,,,,,,,,,,,,,,
浩海：古拉德的火焰短靴,鞋子,2000280277,浩海：古拉德的火焰重甲,34,5,,,,,,,,,,,,,,,,,,,
浩海：波罗丁的天祈胸甲,上衣,2000090283,浩海：波罗丁的天祈板甲,35,5,,,,,,,,,,,,,,,,,,,
浩海：波罗丁的天祈绑腿,下装,2000140278,浩海：波罗丁的天祈板甲,35,5,,,,,,,,,,,,,,,,,,,
浩海：波罗丁的天祈头盔,头肩,2000190261,浩海：波罗丁的天祈板甲,35,5,,,,,,,,,,,,,,,,,,,
浩海：波罗丁的天祈腰带,腰带,2000240263,浩海：波罗丁的天祈板甲,35,5,,,,,,,,,,,,,,,,,,,
浩海：波罗丁的天祈长靴,鞋子,2000290278,浩海：波罗丁的天祈板甲,35,5,,,,,,,,,,,,,,,,,,,
浩海：奥德丽的蛟龙胸甲,上衣,2000060293,浩海：奥德丽的战服,36,5,,,,,,,,,,,,,,,,,,,
浩海：奥德丽的蛟龙短裤,下装,2000110292,浩海：奥德丽的战服,36,5,,,,,,,,,,,,,,,,,,,
浩海：奥德丽的蛟龙肩甲,头肩,2000160346,浩海：奥德丽的战服,36,5,,,,,,,,,,,,,,,,,,,
浩海：奥德丽的蛟龙弹夹,腰带,2000210361,浩海：奥德丽的战服,36,5,,,,,,,,,,,,,,,,,,,
浩海：奥德丽的蛟龙长靴,鞋子,2000260299,浩海：奥德丽的战服,36,5,,,,,,,,,,,,,,,,,,,
预言者的静夜短裙,下装,,静夜之预言者套装,37,5,,,,,,,,,,,,,,,,,,,
预言者的静夜风衣,上衣,,静夜之预言者套装,37,5,,,,,,,,,,,,,,,,,,,
预言者的静夜肩甲,头肩,,静夜之预言者套装,37,5,,,,,,,,,,,,,,,,,,,
预言者的静夜鞋子,鞋,,静夜之预言者套装,37,5,,,,,,,,,,,,,,,,,,,
预言者的静夜腰带,腰带,,静夜之预言者套装,37,5,,,,,,,,,,,,,,,,,,,
白日梦想家,上衣,,艾莉的外出服套装,38,5,,,,,,,,,,,,,,,,,,,
叮当洋装,下装,,艾莉的外出服套装,38,5,,,,,,,,,,,,,,,,,,,
妙妙毛帽子,头肩,,艾莉的外出服套装,38,5,,,,,,,,,,,,,,,,,,,
踢踏短靴,鞋,,艾莉的外出服套装,38,5,,,,,,,,,,,,,,,,,,,
傲娇猫咪,腰带,,艾莉的外出服套装,38,5,,,,,,,,,,,,,,,,,,,
愤怒魔女的炙焰长袍,上衣,,愤怒魔女的炙焰战袍套装,39,5,,,,,,,,,,,,,,,,,,,
愤怒魔女的炙焰长裤,下装,,愤怒魔女的炙焰战袍套装,39,5,,,,,,,,,,,,,,,,,,,
愤怒魔女的炙焰斗篷,头肩,,愤怒魔女的炙焰战袍套装,39,5,,,,,,,,,,,,,,,,,,,
敏捷魔女的靴子,鞋,,愤怒魔女的炙焰战袍套装,39,5,,,,,,,,,,,,,,,,,,,
狡猾魔女的腰带,腰带,,愤怒魔女的炙焰战袍套装,39,5,,,,,,,,,,,,,,,,,,,
清辉天女上衣,上衣,,清辉天女套装,40,5,,,,,,,,,,,,,,,,,,,
清辉天女短裙,下装,,清辉天女套装,40,5,,,,,,,,,,,,,,,,,,,
清辉天女围巾,头肩,,清辉天女套装,40,5,,,,,,,,,,,,,,,,,,,
清辉天女短靴,鞋,,清辉天女套装,40,5,,,,,,,,,,,,,,,,,,,
清辉天女腰带,腰带,,清辉天女套装,40,5,,,,,,,,,,,,,,,,,,,
潜行者的锋芒夹克,上衣,,史黛西的潜行服套装,41,5,,,,,,,,,,,,,,,,,,,
潜行者的锋芒肩带,头肩,,史黛西的潜行服套装,41,5,,,,,,,,,,,,,,,,,,,
潜行者的锋芒腰带,腰带,,史黛西的潜行服套装,41,5,,,,,,,,,,,,,,,,,,,
潜行者的锋芒长裤,下装,,史黛西的潜行服套装,41,5,,,,,,,,,,,,,,,,,,,
潜行者的锋芒长靴,鞋,,史黛西的潜行服套装,41,5,,,,,,,,,,,,,,,,,,,
荒野的标记,上衣,,荒野猎人套装,42,5,,,,,,,,,,,,,,,,,,,
胜利的标记,下装,,荒野猎人套装,42,5,,,,,,,,,,,,,,,,,,,
苦难的标记,头肩,,荒野猎人套装,42,5,,,,,,,,,,,,,,,,,,,
追踪的标记,鞋,,荒野猎人套装,42,5,,,,,,,,,,,,,,,,,,,
狩猎的标记,腰带,,荒野猎人套装,42,5,,,,,,,,,,,,,,,,,,,
火焰赫瑞克的炎甲上衣,上衣,,火焰赫瑞克的炎甲套装,43,5,,,,,,,,,,,,,,,,,,,
火焰赫瑞克的炎甲下装,下装,,火焰赫瑞克的炎甲套装,43,5,,,,,,,,,,,,,,,,,,,
火焰赫瑞克的炎甲护肩,头肩,,火焰赫瑞克的炎甲套装,43,5,,,,,,,,,,,,,,,,,,,
火焰赫瑞克的炎甲长靴,鞋,,火焰赫瑞克的炎甲套装,43,5,,,,,,,,,,,,,,,,,,,
火焰赫瑞克的炎甲腰带,腰带,,火焰赫瑞克的炎甲套装,43,5,,,,,,,,,,,,,,,,,,,
千年玄铁兽胸甲,上衣,,千年玄铁兽战甲套装,44,5,,,,,,,,,,,,,,,,,,,
千年玄铁兽护腿,下装,,千年玄铁兽战甲套装,44,5,,,,,,,,,,,,,,,,,,,
千年玄铁兽肩甲,头肩,,千年玄铁兽战甲套装,44,5,,,,,,,,,,,,,,,,,,,
千年玄铁兽靴子,鞋,,千年玄铁兽战甲套装,44,5,,,,,,,,,,,,,,,,,,,
千年玄铁兽腰带,腰带,,千年玄铁兽战甲套装,44,5,,,,,,,,,,,,,,,,,,,
克罗姆的生命护甲,头肩,,克罗姆的生命轻甲套装,45,5,,,,,,,,,,,,,,,,,,,
克罗姆的生命护腿,上衣,,克罗姆的生命轻甲套装,45,5,,,,,,,,,,,,,,,,,,,
克罗姆的生命护肩,下装,,克罗姆的生命轻甲套装,45,5,,,,,,,,,,,,,,,,,,,
克罗姆的元气靴子,腰带,,克罗姆的生命轻甲套装,45,5,,,,,,,,,,,,,,,,,,,
克罗姆的力量腰带,鞋,,克罗姆的生命轻甲套装,45,5,,,,,,,,,,,,,,,,,,,
达丽雅·斯科特的改良上衣,上衣,,达丽雅·斯科特的武斗服套装,46,5,,,,,,,,,,,,,,,,,,,
达丽雅·斯科特的改良下装,下装,,达丽雅·斯科特的武斗服套装,46,5,,,,,,,,,,,,,,,,,,,
达丽雅·斯科特的战斗头肩,头肩,,达丽雅·斯科特的武斗服套装,46,5,,,,,,,,,,,,,,,,,,,
达丽雅·斯科特的轻甲战靴,鞋,,达丽雅·斯科特的武斗服套装,46,5,,,,,,,,,,,,,,,,,,,
达丽雅·斯科特的轻甲腰带,腰带,,达丽雅·斯科特的武斗服套装,46,5,,,,,,,,,,,,,,,,,,,
千钧之羽护肩,头肩,,千钧之羽套装,47,5,,,,,,,,,,,,,,,,,,,
千钧之羽上衣,上衣,,千钧之羽套装,47,5,,,,,,,,,,,,,,,,,,,
千钧之羽下装,下装,,千钧之羽套装,47,5,,,,,,,,,,,,,,,,,,,
千钧之羽腰带,腰带,,千钧之羽套装,47,5,,,,,,,,,,,,,,,,,,,
千钧之羽战靴,鞋,,千钧之羽套装,47,5,,,,,,,,,,,,,,,,,,,
漂浮的黑暗,上衣,,向着未知航行套装,48,5,,,,,,,,,,,,,,,,,,,
临近的暗淡,下装,,向着未知航行套装,48,5,,,,,,,,,,,,,,,,,,,
渐亮的黎明,头肩,,向着未知航行套装,48,5,,,,,,,,,,,,,,,,,,,
前进的勇气,鞋,,向着未知航行套装,48,5,,,,,,,,,,,,,,,,,,,
破碎的黄昏,腰带,,向着未知航行套装,48,5,,,,,,,,,,,,,,,,,,,
黑暗中的盲人,上衣,,深海的战栗套装,49,5,,,,,,,,,,,,,,,,,,,
声音扭曲的支配者,下装,,深海的战栗套装,49,5,,,,,,,,,,,,,,,,,,,
来自深渊的人,头肩,,深海的战栗套装,49,5,,,,,,,,,,,,,,,,,,,
海底潜行者,鞋,,深海的战栗套装,49,5,,,,,,,,,,,,,,,,,,,
吞海者,腰带,,深海的战栗套装,49,5,,,,,,,,,,,,,,,,,,,
歼灭机器,下装,,艾扎克的强化服套装,50,5,,,,,,,,,,,,,,,,,,,
溃灭装置,鞋,,艾扎克的强化服套装,50,5,,,,,,,,,,,,,,,,,,,
漆黑的巨型机器,上衣,,艾扎克的强化服套装,50,5,,,,,,,,,,,,,,,,,,,
亡者登场,头肩,,艾扎克的强化服套装,50,5,,,,,,,,,,,,,,,,,,,
无尽追击,腰带,,艾扎克的强化服套装,50,5,,,,,,,,,,,,,,,,,,,
巨树守护者罗丁的心智胸甲,上衣,,巨树守护者套装,51,5,,,,,,,,,,,,,,,,,,,
巨树守护者罗丁的根源腿甲,下装,,巨树守护者套装,51,5,,,,,,,,,,,,,,,,,,,
巨树守护者罗丁的树皮头盔,头肩,,巨树守护者套装,51,5,,,,,,,,,,,,,,,,,,,
巨树守护者罗丁的树桩长靴,鞋,,巨树守护者套装,51,5,,,,,,,,,,,,,,,,,,,
巨树守护者罗丁的枝干腰带,腰带,,巨树守护者套装,51,5,,,,,,,,,,,,,,,,,,,
空间支配者胸甲,上衣,,玄冥精灵重甲套装,52,5,,,,,,,,,,,,,,,,,,,
次元支配者裤子,下装,,玄冥精灵重甲套装,52,5,,,,,,,,,,,,,,,,,,,
时间支配者斗篷,头肩,,玄冥精灵重甲套装,52,5,,,,,,,,,,,,,,,,,,,
光辉支配者靴子,鞋,,玄冥精灵重甲套装,52,5,,,,,,,,,,,,,,,,,,,
