装备信息,,,,,,表示套装在对应职业下的排列顺序，排序越小越靠前,,,,,,,,,,,,,,
装备名称,装备部位,装备 ID,对应套装名称,对应套装 ID,套装数量,鬼泣,狂战士,剑魂,阿修罗,气功师,散打,漫游枪手,枪炮师,元素师,魔道学者,圣骑士,驭剑士,暗殿骑士,契魔者,流浪武士
舰队司令战术外套,上衣,1900060000,威武之师战略,6,5,,,,,,,,,,,,,,,
大将军战术长裤,下装,1900110000,威武之师战略,6,5,,,,,,,,,,,,,,,
中士战术护肩,头肩,1900160000,威武之师战略,6,5,,,,,,,,,,,,,,,
舰长战术腰带,腰带,1900210000,威武之师战略,6,5,,,,,,,,,,,,,,,
上校战术鞋子,鞋子,1900260000,威武之师战略,6,5,,,,,,,,,,,,,,,
邪龙的精髓胸甲,上衣,2000070065,邪龙的精髓轻甲,7,5,,,,,,,,,,,,,,,
邪龙的精髓胫甲,下装,2000120065,邪龙的精髓轻甲,7,5,,,,,,,,,,,,,,,
邪龙的精髓肩甲,头肩,2000170057,邪龙的精髓轻甲,7,5,,,,,,,,,,,,,,,
邪龙的精髓腰带,腰带,2000220057,邪龙的精髓轻甲,7,5,,,,,,,,,,,,,,,
邪龙的精髓长靴,鞋子,2000270061,邪龙的精髓轻甲,7,5,,,,,,,,,,,,,,,
重力之契胸甲,上衣,2000070064,重力之契轻甲,8,5,,,,,,,,,,,,,,,
重力之契绑腿,下装,2000120064,重力之契轻甲,8,5,,,,,,,,,,,,,,,
重力之契护肩,头肩,2000170056,重力之契轻甲,8,5,,,,,,,,,,,,,,,
重力之契腰带,腰带,2000220056,重力之契轻甲,8,5,,,,,,,,,,,,,,,
重力之契长靴,鞋子,2000270060,重力之契轻甲,8,5,,,,,,,,,,,,,,,
冰之力机械链甲,上衣,1900070000,自然之怒,9,5,,,,,,,,,,,,,,,
暗之力机械绑腿,下装,1900120000,自然之怒,9,5,,,,,,,,,,,,,,,
火之力机械护肩,头肩,1900170000,自然之怒,9,5,,,,,,,,,,,,,,,
光之力机械腰带,腰带,1900220000,自然之怒,9,5,,,,,,,,,,,,,,,
风之力机械鞋子,鞋子,1900270000,自然之怒,9,5,,,,,,,,,,,,,,,
古拉德的火焰胸甲,上衣,2000080060,古拉德的火焰重甲,10,5,,,,,,,,,,,,,,,
古拉德的火焰胫甲,下装,2000130060,古拉德的火焰重甲,10,5,,,,,,,,,,,,,,,
古拉德的火焰肩甲,头肩,2000180053,古拉德的火焰重甲,10,5,,,,,,,,,,,,,,,
古拉德的火焰腰带,腰带,2000230053,古拉德的火焰重甲,10,5,,,,,,,,,,,,,,,
古拉德的火焰短靴,鞋子,2000280057,古拉德的火焰重甲,10,5,,,,,,,,,,,,,,,
树魔的野熊胸甲,上衣,2000080059,树魔的野熊重甲,11,5,,,,,,,,,,,,,,,
树魔的野熊绑腿,下装,2000130059,树魔的野熊重甲,11,5,,,,,,,,,,,,,,,
树魔的野熊头盔,头肩,2000180052,树魔的野熊重甲,11,5,,,,,,,,,,,,,,,
树魔的野熊腰带,腰带,2000230052,树魔的野熊重甲,11,5,,,,,,,,,,,,,,,
树魔的野熊长靴,鞋子,2000280056,树魔的野熊重甲,11,5,,,,,,,,,,,,,,,
巨人金直间上衣,上衣,1900080000,蜘蛛王子之魂,12,5,,,,,,,,,,,,,,,
红绿橙蛛下装,下装,1900130000,蜘蛛王子之魂,12,5,,,,,,,,,,,,,,,
漏斗蛛护肩,头肩,1900180000,蜘蛛王子之魂,12,5,,,,,,,,,,,,,,,
黑寡妇腰带,腰带,1900230000,蜘蛛王子之魂,12,5,,,,,,,,,,,,,,,
梦幻食鸟蛛鞋,鞋子,1900280000,蜘蛛王子之魂,12,5,,,,,,,,,,,,,,,
信念的守护胸甲,上衣,2000090132,信念的守护,13,5,,,,,,,,,,,,,,,
信念的守护护腿,下装,2000140133,信念的守护,13,5,,,,,,,,,,,,,,,
信念的守护护肩,头肩,2000190124,信念的守护,13,5,,,,,,,,,,,,,,,
信念的守护腰带,腰带,2000240125,信念的守护,13,5,,,,,,,,,,,,,,,
信念的守护短靴,鞋子,2000290133,信念的守护,13,5,,,,,,,,,,,,,,,
波罗丁的天祈胸甲,上衣,2000090131,波罗丁的天祈板甲,14,5,,,,,,,,,,,,,,,
波罗丁的天祈绑腿,下装,2000140132,波罗丁的天祈板甲,14,5,,,,,,,,,,,,,,,
波罗丁的天祈头盔,头肩,2000190123,波罗丁的天祈板甲,14,5,,,,,,,,,,,,,,,
波罗丁的天祈腰带,腰带,2000240124,波罗丁的天祈板甲,14,5,,,,,,,,,,,,,,,
波罗丁的天祈长靴,鞋子,2000290132,波罗丁的天祈板甲,14,5,,,,,,,,,,,,,,,
风暴之甲,上衣,1900090000,战斗之风,15,5,,,,,,,,,,,,,,,
武力飓风,下装,1900140000,战斗之风,15,5,,,,,,,,,,,,,,,
勇气激流,头肩,1900190000,战斗之风,15,5,,,,,,,,,,,,,,,
战意旋涡,腰带,1900240000,战斗之风,15,5,,,,,,,,,,,,,,,
涌动风潮,鞋子,1900290000,战斗之风,15,5,,,,,,,,,,,,,,,
深海之王-幻影：青,项链,2000300083,深海之王：青,16,3,,,,,,,,,,,,,,,
深海之王-痛苦：青,手镯,2000310079,深海之王：青,16,3,,,,,,,,,,,,,,,
深海之王-支配：青,戒指,2000320083,深海之王：青,16,3,,,,,,,,,,,,,,,
深海之王-幻影：赤,项链,2000300082,深海之王：赤,17,3,,,,,,,,,,,,,,,
深海之王-痛苦：赤,手镯,2000310078,深海之王：赤,17,3,,,,,,,,,,,,,,,
深海之王-支配：赤,戒指,2000320082,深海之王：赤,17,3,,,,,,,,,,,,,,,
踌躇者的天象仪项链,项链,2000300070,夜之迷途,18,3,,,,,,,,,,,,,,,
踌躇者的测量手镯,手镯,2000310067,夜之迷途,18,3,,,,,,,,,,,,,,,
踌躇者的罗盘戒指,戒指,2000320067,夜之迷途,18,3,,,,,,,,,,,,,,,
史苏克的四滴眼泪,项链,2000300056,史苏克的八滴眼泪,19,3,,,,,,,,,,,,,,,
史苏克的三滴眼泪,手镯,2000310054,史苏克的八滴眼泪,19,3,,,,,,,,,,,,,,,
史苏克的一滴眼泪,戒指,2000320055,史苏克的八滴眼泪,19,3,,,,,,,,,,,,,,,
蓝色真谛求知项坠,项链,2000300055,蓝色真谛求知,20,3,,,,,,,,,,,,,,,
蓝色真谛求知手镯,手镯,2000310053,蓝色真谛求知,20,3,,,,,,,,,,,,,,,
蓝色真谛求知之戒,戒指,2000320054,蓝色真谛求知,20,3,,,,,,,,,,,,,,,
时空主宰者项链,项链,1900300001,时光主宰者,21,3,,,,,,,,,,,,,,,
时空主宰者手镯,手镯,1900310000,时光主宰者,21,3,,,,,,,,,,,,,,,
时空主宰者戒指,戒指,1900320001,时光主宰者,21,3,,,,,,,,,,,,,,,
浩海：冰之力机械链甲,上衣,2000070276,浩海：自然之怒,22,5,,,,,,,,,,,,,,,
浩海：暗之力机械绑腿,下装,2000120281,浩海：自然之怒,22,5,,,,,,,,,,,,,,,
浩海：火之力机械护肩,头肩,2000170258,浩海：自然之怒,22,5,,,,,,,,,,,,,,,
浩海：光之力机械腰带,腰带,2000220257,浩海：自然之怒,22,5,,,,,,,,,,,,,,,
浩海：风之力机械鞋子,鞋子,2000270270,浩海：自然之怒,22,5,,,,,,,,,,,,,,,
浩海：重力之契胸甲,上衣,2000070274,浩海：重力之契轻甲,23,5,,,,,,,,,,,,,,,
浩海：重力之契绑腿,下装,2000120279,浩海：重力之契轻甲,23,5,,,,,,,,,,,,,,,
浩海：重力之契护肩,头肩,2000170256,浩海：重力之契轻甲,23,5,,,,,,,,,,,,,,,
浩海：重力之契腰带,腰带,2000220255,浩海：重力之契轻甲,23,5,,,,,,,,,,,,,,,
浩海：重力之契长靴,鞋子,2000270268,浩海：重力之契轻甲,23,5,,,,,,,,,,,,,,,
浩海：巨人金直间上衣,上衣,2000080280,浩海：蜘蛛王子之魂,24,5,,,,,,,,,,,,,,,
浩海：红绿橙蛛下装,下装,2000130280,浩海：蜘蛛王子之魂,24,5,,,,,,,,,,,,,,,
浩海：漏斗蛛护肩,头肩,2000180274,浩海：蜘蛛王子之魂,24,5,,,,,,,,,,,,,,,
浩海：黑寡妇腰带,腰带,2000230263,浩海：蜘蛛王子之魂,24,5,,,,,,,,,,,,,,,
浩海：梦幻食鸟蛛鞋,鞋子,2000280278,浩海：蜘蛛王子之魂,24,5,,,,,,,,,,,,,,,
浩海：风暴之甲,上衣,2000090285,浩海：战斗之风,25,5,,,,,,,,,,,,,,,
浩海：武力飓风,下装,2000140280,浩海：战斗之风,25,5,,,,,,,,,,,,,,,
浩海：勇气激流,头肩,2000190263,浩海：战斗之风,25,5,,,,,,,,,,,,,,,
浩海：战意旋涡,腰带,2000240265,浩海：战斗之风,25,5,,,,,,,,,,,,,,,
浩海：涌动风潮,鞋子,2000290280,浩海：战斗之风,25,5,,,,,,,,,,,,,,,
浩海：信念的守护胸甲,上衣,2000090284,浩海：信念的守护,26,5,,,,,,,,,,,,,,,
浩海：信念的守护护腿,下装,2000140279,浩海：信念的守护,26,5,,,,,,,,,,,,,,,
浩海：信念的守护护肩,头肩,2000190262,浩海：信念的守护,26,5,,,,,,,,,,,,,,,
浩海：信念的守护腰带,腰带,2000240264,浩海：信念的守护,26,5,,,,,,,,,,,,,,,
浩海：信念的守护短靴,鞋子,2000290279,浩海：信念的守护,26,5,,,,,,,,,,,,,,,
浩海：邪龙的精髓胸甲,上衣,2000070275,浩海：邪龙的精髓轻甲,27,5,,,,,,,,,,,,,,,
浩海：邪龙的精髓胫甲,下装,2000120280,浩海：邪龙的精髓轻甲,27,5,,,,,,,,,,,,,,,
浩海：邪龙的精髓肩甲,头肩,2000170257,浩海：邪龙的精髓轻甲,27,5,,,,,,,,,,,,,,,
浩海：邪龙的精髓腰带,腰带,2000220256,浩海：邪龙的精髓轻甲,27,5,,,,,,,,,,,,,,,
浩海：邪龙的精髓长靴,鞋子,2000270269,浩海：邪龙的精髓轻甲,27,5,,,,,,,,,,,,,,,
浩海：舰队司令战术外套,上衣,2000060295,浩海：威武之师战略,28,5,,,,,,,,,,,,,,,
浩海：大将军战术长裤,下装,2000110294,浩海：威武之师战略,28,5,,,,,,,,,,,,,,,
浩海：中士战术护肩,头肩,2000160348,浩海：威武之师战略,28,5,,,,,,,,,,,,,,,
浩海：舰长战术腰带,腰带,2000210363,浩海：威武之师战略,28,5,,,,,,,,,,,,,,,
浩海：上校战术鞋子,鞋子,2000260301,浩海：威武之师战略,28,5,,,,,,,,,,,,,,,
浩海：天翎逐月长袍,上衣,2000050296,浩海：天翎逐月战袍,29,5,,,,,,,,,,,,,,,
浩海：天翎逐月长裤,下装,2000100297,浩海：天翎逐月战袍,29,5,,,,,,,,,,,,,,,
浩海：天翎逐月护肩,头肩,2000150278,浩海：天翎逐月战袍,29,5,,,,,,,,,,,,,,,
浩海：天翎逐月腰带,腰带,2000200280,浩海：天翎逐月战袍,29,5,,,,,,,,,,,,,,,
浩海：天翎逐月长靴,鞋子,2000250290,浩海：天翎逐月战袍,29,5,,,,,,,,,,,,,,,
浩海：树魔的野熊胸甲,上衣,2000080278,浩海：树魔的野熊重甲,30,5,,,,,,,,,,,,,,,
浩海：树魔的野熊绑腿,下装,2000130278,浩海：树魔的野熊重甲,30,5,,,,,,,,,,,,,,,
浩海：树魔的野熊头盔,头肩,2000180272,浩海：树魔的野熊重甲,30,5,,,,,,,,,,,,,,,
浩海：树魔的野熊腰带,腰带,2000230261,浩海：树魔的野熊重甲,30,5,,,,,,,,,,,,,,,
浩海：树魔的野熊长靴,鞋子,2000280276,浩海：树魔的野熊重甲,30,5,,,,,,,,,,,,,,,
浩海：银月少女上衣,上衣,2000050295,浩海：少女套装,31,5,,,,,,,,,,,,,,,
浩海：银月少女短裙,下装,2000100296,浩海：少女套装,31,5,,,,,,,,,,,,,,,
浩海：银月少女围巾,头肩,2000150277,浩海：少女套装,31,5,,,,,,,,,,,,,,,
浩海：银月少女腰带,腰带,2000200279,浩海：少女套装,31,5,,,,,,,,,,,,,,,
浩海：银月少女长靴,鞋子,2000250289,浩海：少女套装,31,5,,,,,,,,,,,,,,,
浩海：灵思者的火龙胸甲,上衣,2000060294,浩海：灵思者的火龙皮甲,32,5,,,,,,,,,,,,,,,
浩海：灵思者的火龙护腿,下装,2000110293,浩海：灵思者的火龙皮甲,32,5,,,,,,,,,,,,,,,
浩海：灵思者的火龙肩甲,头肩,2000160347,浩海：灵思者的火龙皮甲,32,5,,,,,,,,,,,,,,,
浩海：灵思者的火龙腰带,腰带,2000210362,浩海：灵思者的火龙皮甲,32,5,,,,,,,,,,,,,,,
浩海：灵思者的火龙长靴,鞋子,2000260300,浩海：灵思者的火龙皮甲,32,5,,,,,,,,,,,,,,,
浩海：光之颂歌上衣,上衣,2000050297,浩海：光之颂歌,33,5,,,,,,,,,,,,,,,
浩海：光之颂歌下装,下装,2000100298,浩海：光之颂歌,33,5,,,,,,,,,,,,,,,
浩海：光之颂歌护肩,头肩,2000150279,浩海：光之颂歌,33,5,,,,,,,,,,,,,,,
浩海：光之颂歌腰带,腰带,2000200281,浩海：光之颂歌,33,5,,,,,,,,,,,,,,,
浩海：光之颂歌鞋子,鞋子,2000250291,浩海：光之颂歌,33,5,,,,,,,,,,,,,,,
浩海：古拉德的火焰胸甲,上衣,2000080279,浩海：古拉德的火焰重甲,34,5,,,,,,,,,,,,,,,
浩海：古拉德的火焰胫甲,下装,2000130279,浩海：古拉德的火焰重甲,34,5,,,,,,,,,,,,,,,
浩海：古拉德的火焰肩甲,头肩,2000180273,浩海：古拉德的火焰重甲,34,5,,,,,,,,,,,,,,,
浩海：古拉德的火焰腰带,腰带,2000230262,浩海：古拉德的火焰重甲,34,5,,,,,,,,,,,,,,,
浩海：古拉德的火焰短靴,鞋子,2000280277,浩海：古拉德的火焰重甲,34,5,,,,,,,,,,,,,,,
浩海：波罗丁的天祈胸甲,上衣,2000090283,浩海：波罗丁的天祈板甲,35,5,,,,,,,,,,,,,,,
浩海：波罗丁的天祈绑腿,下装,2000140278,浩海：波罗丁的天祈板甲,35,5,,,,,,,,,,,,,,,
浩海：波罗丁的天祈头盔,头肩,2000190261,浩海：波罗丁的天祈板甲,35,5,,,,,,,,,,,,,,,
浩海：波罗丁的天祈腰带,腰带,2000240263,浩海：波罗丁的天祈板甲,35,5,,,,,,,,,,,,,,,
浩海：波罗丁的天祈长靴,鞋子,2000290278,浩海：波罗丁的天祈板甲,35,5,,,,,,,,,,,,,,,
浩海：奥德丽的蛟龙胸甲,上衣,2000060293,浩海：奥德丽的战服,36,5,,,,,,,,,,,,,,,
浩海：奥德丽的蛟龙短裤,下装,2000110292,浩海：奥德丽的战服,36,5,,,,,,,,,,,,,,,
浩海：奥德丽的蛟龙肩甲,头肩,2000160346,浩海：奥德丽的战服,36,5,,,,,,,,,,,,,,,
浩海：奥德丽的蛟龙弹夹,腰带,2000210361,浩海：奥德丽的战服,36,5,,,,,,,,,,,,,,,
浩海：奥德丽的蛟龙长靴,鞋子,2000260299,浩海：奥德丽的战服,36,5,,,,,,,,,,,,,,,
古代宝石守护者腰带,腰带,2000240153,古代遗迹守护者板甲套装,37,5,,,,,,,,,,,1,,1,,
古代文献守护者肩甲,头肩,2000190152,古代遗迹守护者板甲套装,37,5,,,,,,,,,,,1,,1,,
古代遗迹守护者护腿,下装,2000140161,古代遗迹守护者板甲套装,37,5,,,,,,,,,,,1,,1,,
古代遗迹守护者胸甲,上衣,2000090160,古代遗迹守护者板甲套装,37,5,,,,,,,,,,,1,,1,,
古代遗迹守护者战靴,鞋,2000290161,古代遗迹守护者板甲套装,37,5,,,,,,,,,,,1,,1,,
潜行者的锋芒夹克,上衣,2000060178,史黛西的潜行服套装,38,5,2,2,2,2,2,2,1,2,2,1,,2,,2,1
潜行者的锋芒肩带,头肩,2000160170,史黛西的潜行服套装,38,5,2,2,2,2,2,2,1,2,2,1,,2,,2,1
潜行者的锋芒腰带,腰带,2000210169,史黛西的潜行服套装,38,5,2,2,2,2,2,2,1,2,2,1,,2,,2,1
潜行者的锋芒长裤,下装,2000110177,史黛西的潜行服套装,38,5,2,2,2,2,2,2,1,2,2,1,,2,,2,1
潜行者的锋芒长靴,鞋,2000260176,史黛西的潜行服套装,38,5,2,2,2,2,2,2,1,2,2,1,,2,,2,1
歼灭机器,下装,2000130185,艾扎克的强化服套装,39,5,,1,,,,,,1,,,,,,1,
溃灭装置,鞋,2000280184,艾扎克的强化服套装,39,5,,1,,,,,,1,,,,,,1,
漆黑的巨型机器,上衣,2000080185,艾扎克的强化服套装,39,5,,1,,,,,,1,,,,,,1,
亡者登场,头肩,2000180178,艾扎克的强化服套装,39,5,,1,,,,,,1,,,,,,1,
无尽追击,腰带,2000230176,艾扎克的强化服套装,39,5,,1,,,,,,1,,,,,,1,
预言者的静夜短裙,下装,2000100154,静夜之预言者套装,40,5,1,,,,1,,2,,1,2,,,,,2
预言者的静夜风衣,上衣,2000050154,静夜之预言者套装,40,5,1,,,,1,,2,,1,2,,,,,2
预言者的静夜肩甲,头肩,2000150146,静夜之预言者套装,40,5,1,,,,1,,2,,1,2,,,,,2
预言者的静夜鞋子,鞋,2000250148,静夜之预言者套装,40,5,1,,,,1,,2,,1,2,,,,,2
预言者的静夜腰带,腰带,2000200141,静夜之预言者套装,40,5,1,,,,1,,2,,1,2,,,,,2
黄金庇佑甲胄,上衣,2000090190,灿烂的荣誉套装,41,5,,,,1,,,,,,,2,,2,,
黄金庇佑战靴,鞋,2000290191,灿烂的荣誉套装,41,5,,,,1,,,,,,,2,,2,,
黄金庇佑护腰,腰带,2000240183,灿烂的荣誉套装,41,5,,,,1,,,,,,,2,,2,,
黄金庇佑肩甲,头肩,2000190182,灿烂的荣誉套装,41,5,,,,1,,,,,,,2,,2,,
黄金庇佑腿甲,下装,2000140191,灿烂的荣誉套装,41,5,,,,1,,,,,,,2,,2,,
千钧之羽护肩,头肩,2000170169,千钧之羽套装,42,5,,,1,,,,1,,,,,1,,,
千钧之羽上衣,上衣,2000070178,千钧之羽套装,42,5,,,1,,,,1,,,,,1,,,
千钧之羽下装,下装,2000120176,千钧之羽套装,42,5,,,1,,,,1,,,,,1,,,
千钧之羽腰带,腰带,2000220168,千钧之羽套装,42,5,,,1,,,,1,,,,,1,,,
千钧之羽战靴,鞋,2000270173,千钧之羽套装,42,5,,,1,,,,1,,,,,1,,,
