1=强力散搭；2=毕业推荐；,,,,,,,,,,,,,,,,,,,,
id,名称,分类,鬼泣,狂战士,剑魂,阿修罗,气功师,散打,漫游枪手,枪炮师,元素师,魔道学者,圣骑士,正义审判者,驱魔师,除恶者,蓝拳使者,暗殿骑士,契魔者,流浪武士
2000250310,混沌：清辉天女短靴,鞋,,,,,,,,,,,,,,,,,,
2000200300,混沌：清辉天女腰带,腰带,,,,,,,,,,,,,,,,,,
2000060320,混沌：潜行者的锋芒夹克,上衣,,,,,,,2,,,2,,,,,,,,2
2000160365,混沌：潜行者的锋芒肩带,头肩,,,,,,,2,,,2,,,,,,,,2
2000210380,混沌：潜行者的锋芒腰带,腰带,,,,,,,2,,,2,,,,,,,,2
2000110319,混沌：潜行者的锋芒长裤,下装,,,,,,,2,,,2,,,,,,,,2
2000260327,混沌：潜行者的锋芒长靴,鞋,,,,,,,2,,,2,,,,,,,,2
2000060317,混沌：荒野的标记,上衣,,,,,,,2,,,2,,,,,,,,2
2000110316,混沌：胜利的标记,下装,,,,,,,2,,,2,,,,,,,,2
2000160362,混沌：苦难的标记,头肩,,,,,,,2,,,2,,,,,,,,2
2000260324,混沌：追踪的标记,鞋,,,,,,,2,,,2,,,,,,,,2
2000210377,混沌：狩猎的标记,腰带,,,,,,,2,,,2,,,,,,,,2
2000060319,混沌：火焰赫瑞克的炎甲上衣,上衣,,,,,,,,,,,,,,,,,,
2000110318,混沌：火焰赫瑞克的炎甲下装,下装,,,,,,,,,,,,,,,,,,
2000160364,混沌：火焰赫瑞克的炎甲护肩,头肩,,,,,,,,,,,,,,,,,,
2000260326,混沌：火焰赫瑞克的炎甲长靴,鞋,,,,,,,,,,,,,,,,,,
2000210379,混沌：火焰赫瑞克的炎甲腰带,腰带,,,,,,,,,,,,,,,,,,
2000060318,混沌：千年玄铁兽胸甲,上衣,,,,,,,,,,,,,,,,,,
2000110317,混沌：千年玄铁兽护腿,下装,,,,,,,,,,,,,,,,,,
2000160363,混沌：黑铁皮甲肩甲,头肩,,,,,,,,,,,,,,,,,,
2000260325,混沌：千年玄铁兽靴子,鞋,,,,,,,,,,,,,,,,,,
2000210378,混沌：千年玄铁兽腰带,腰带,,,,,,,,,,,,,,,,,,
2000070299,混沌：克罗姆的生命护甲,头肩,,,2,,,2,,,,,,,,,2,,,
2000120303,混沌：克罗姆的生命护腿,上衣,,,2,,,2,,,,,,,,,2,,,
2000170282,混沌：克罗姆的生命护肩,下装,,,2,,,2,,,,,,,,,2,,,
2000270292,混沌：克罗姆的元气靴子,腰带,,,2,,,2,,,,,,,,,2,,,
2000220279,混沌：克罗姆的力量腰带,鞋,,,2,,,2,,,,,,,,,2,,,
2000070301,混沌：达丽雅·斯科特的改良上衣,上衣,,,2,,,2,,,,,,,,,2,,,
2000120305,混沌：达丽雅·斯科特的改良下装,下装,,,2,,,2,,,,,,,,,2,,,
2000170284,混沌：达丽雅·斯科特的战斗肩甲,头肩,,,2,,,2,,,,,,,,,2,,,
2000270294,混沌：达丽雅·斯科特的轻甲战靴,鞋,,,2,,,2,,,,,,,,,2,,,
2000220281,混沌：达丽雅·斯科特的轻甲腰带,腰带,,,2,,,2,,,,,,,,,2,,,
2000170283,混沌：千钧之羽护肩,头肩,,,,,,,,,,,,,,,,,,
2000070300,混沌：千钧之羽上衣,上衣,,,,,,,,,,,,,,,,,,
2000120304,混沌：千钧之羽下装,下装,,,,,,,,,,,,,,,,,,
2000220280,混沌：千钧之羽腰带,腰带,,,,,,,,,,,,,,,,,,
2000270293,混沌：千钧之羽战靴,鞋,,,,,,,,,,,,,,,,,,
2000070298,混沌：漂浮的黑暗,上衣,,,,,,,,,,,,,,,,,,
2000120302,混沌：临近的暗淡,下装,,,,,,,,,,,,,,,,,,
2000170281,混沌：渐亮的黎明,头肩,,,,,,,,,,,,,,,,,,
