装备信息,,,,,,表示套装在对应职业下的排列顺序，排序越小越靠前,,,,,,,,,,,,,,,,,
装备名称,装备部位,装备 ID,对应套装名称,对应套装 ID,套装数量,鬼泣,狂战士,剑魂,阿修罗,气功师,散打,漫游枪手,枪炮师,元素师,魔道学者,圣骑士,正义审判者,驱魔师,除恶者,蓝拳使者,暗殿骑士,契魔者,流浪武士
混沌：荒野的标记,上衣,2000060317,荒野猎人套装,64,5,,,,,,,2,,,2,,,,,,,,2
混沌：胜利的标记,下装,2000110316,荒野猎人套装,64,5,,,,,,,2,,,2,,,,,,,,2
混沌：苦难的标记,头肩,2000160362,荒野猎人套装,64,5,,,,,,,2,,,2,,,,,,,,2
混沌：追踪的标记,鞋,2000260324,荒野猎人套装,64,5,,,,,,,2,,,2,,,,,,,,2
混沌：狩猎的标记,腰带,2000210377,荒野猎人套装,64,5,,,,,,,2,,,2,,,,,,,,2
混沌：火焰赫瑞克的炎甲上衣,上衣,2000060319,火焰赫瑞克的炎甲套装,65,5,,,,,,,,,,,,,,,,,,
混沌：火焰赫瑞克的炎甲下装,下装,2000110318,火焰赫瑞克的炎甲套装,65,5,,,,,,,,,,,,,,,,,,
混沌：火焰赫瑞克的炎甲护肩,头肩,2000160364,火焰赫瑞克的炎甲套装,65,5,,,,,,,,,,,,,,,,,,
混沌：火焰赫瑞克的炎甲长靴,鞋,2000260326,火焰赫瑞克的炎甲套装,65,5,,,,,,,,,,,,,,,,,,
混沌：火焰赫瑞克的炎甲腰带,腰带,2000210379,火焰赫瑞克的炎甲套装,65,5,,,,,,,,,,,,,,,,,,
混沌：千年玄铁兽胸甲,上衣,2000060318,千年玄铁兽战甲套装,66,5,,,,,,,,,,,,,,,,,,
混沌：千年玄铁兽护腿,下装,2000110317,千年玄铁兽战甲套装,66,5,,,,,,,,,,,,,,,,,,
混沌：黑铁皮甲肩甲,头肩,2000160363,千年玄铁兽战甲套装,66,5,,,,,,,,,,,,,,,,,,
混沌：千年玄铁兽靴子,鞋,2000260325,千年玄铁兽战甲套装,66,5,,,,,,,,,,,,,,,,,,
混沌：千年玄铁兽腰带,腰带,2000210378,千年玄铁兽战甲套装,66,5,,,,,,,,,,,,,,,,,,
混沌：克罗姆的生命护甲,头肩,2000070299,克罗姆的生命轻甲套装,67,5,,,1,,,1,,,,,,,,,1,,,
混沌：克罗姆的生命护腿,上衣,2000120303,克罗姆的生命轻甲套装,67,5,,,1,,,1,,,,,,,,,1,,,
混沌：克罗姆的生命护肩,下装,2000170282,克罗姆的生命轻甲套装,67,5,,,1,,,1,,,,,,,,,1,,,
混沌：克罗姆的元气靴子,腰带,2000270292,克罗姆的生命轻甲套装,67,5,,,1,,,1,,,,,,,,,1,,,
混沌：克罗姆的力量腰带,鞋,2000220279,克罗姆的生命轻甲套装,67,5,,,1,,,1,,,,,,,,,1,,,
混沌：达丽雅·斯科特的改良上衣,上衣,2000070301,达丽雅·斯科特的武斗服套装,68,5,,,2,,,2,,,,,,,,,2,,,
混沌：达丽雅·斯科特的改良下装,下装,2000120305,达丽雅·斯科特的武斗服套装,68,5,,,2,,,2,,,,,,,,,2,,,
混沌：达丽雅·斯科特的战斗肩甲,头肩,2000170284,达丽雅·斯科特的武斗服套装,68,5,,,2,,,2,,,,,,,,,2,,,
混沌：达丽雅·斯科特的轻甲战靴,鞋,2000270294,达丽雅·斯科特的武斗服套装,68,5,,,2,,,2,,,,,,,,,2,,,
混沌：达丽雅·斯科特的轻甲腰带,腰带,2000220281,达丽雅·斯科特的武斗服套装,68,5,,,2,,,2,,,,,,,,,2,,,
混沌：千钧之羽护肩,头肩,2000170283,千钧之羽套装,69,5,,,,,,,,,,,,,,,,,,
混沌：千钧之羽上衣,上衣,2000070300,千钧之羽套装,69,5,,,,,,,,,,,,,,,,,,
混沌：千钧之羽下装,下装,2000120304,千钧之羽套装,69,5,,,,,,,,,,,,,,,,,,
混沌：千钧之羽腰带,腰带,2000220280,千钧之羽套装,69,5,,,,,,,,,,,,,,,,,,
混沌：千钧之羽战靴,鞋,2000270293,千钧之羽套装,69,5,,,,,,,,,,,,,,,,,,
混沌：漂浮的黑暗,上衣,2000070298,向着未知航行套装,70,5,,,,,,,,,,,,,,,,,,
混沌：临近的暗淡,下装,2000120302,向着未知航行套装,70,5,,,,,,,,,,,,,,,,,,
混沌：渐亮的黎明,头肩,2000170281,向着未知航行套装,70,5,,,,,,,,,,,,,,,,,,
混沌：前进的勇气,鞋,2000270291,向着未知航行套装,70,5,,,,,,,,,,,,,,,,,,
混沌：破碎的黄昏,腰带,2000220278,向着未知航行套装,70,5,,,,,,,,,,,,,,,,,,
混沌：黑暗中的盲人,上衣,2000080294,深海的战栗套装,71,5,,1,,,,,,1,,,,1,,1,,,1,
混沌：声音扭曲的支配者,下装,2000130294,深海的战栗套装,71,5,,1,,,,,,1,,,,1,,1,,,1,
混沌：来自深渊的人,头肩,2000180288,深海的战栗套装,71,5,,1,,,,,,1,,,,1,,1,,,1,
混沌：海底潜行者,鞋,2000280292,深海的战栗套装,71,5,,1,,,,,,1,,,,1,,1,,,1,
混沌：吞海者,腰带,2000230277,深海的战栗套装,71,5,,1,,,,,,1,,,,1,,1,,,1,
混沌：歼灭机器,下装,2000130297,艾扎克的强化服套装,72,5,,2,,,,,,2,,,,2,,2,,,2,
混沌：溃灭装置,鞋,2000280295,艾扎克的强化服套装,72,5,,2,,,,,,2,,,,2,,2,,,2,
混沌：漆黑的巨型机器,上衣,2000080297,艾扎克的强化服套装,72,5,,2,,,,,,2,,,,2,,2,,,2,
混沌：亡者登场,头肩,2000180291,艾扎克的强化服套装,72,5,,2,,,,,,2,,,,2,,2,,,2,
混沌：无尽追击,腰带,2000230280,艾扎克的强化服套装,72,5,,2,,,,,,2,,,,2,,2,,,2,
混沌：巨树守护者罗丁的心智胸甲,上衣,2000080296,巨树守护者套装,73,5,,,,,,,,,,,,,,,,,,
混沌：巨树守护者罗丁的根源腿甲,下装,2000130296,巨树守护者套装,73,5,,,,,,,,,,,,,,,,,,
混沌：巨树守护者罗丁的树皮头盔,头肩,2000180290,巨树守护者套装,73,5,,,,,,,,,,,,,,,,,,
混沌：巨树守护者罗丁的树桩长靴,鞋,2000280294,巨树守护者套装,73,5,,,,,,,,,,,,,,,,,,
混沌：巨树守护者罗丁的枝干腰带,腰带,2000230279,巨树守护者套装,73,5,,,,,,,,,,,,,,,,,,
混沌：空间支配者胸甲,上衣,2000080295,玄冥精灵重甲套装,74,5,,,,,,,,,,,,,,,,,,
混沌：次元支配者裤子,下装,2000130295,玄冥精灵重甲套装,74,5,,,,,,,,,,,,,,,,,,
混沌：时间支配者斗篷,头肩,2000180289,玄冥精灵重甲套装,74,5,,,,,,,,,,,,,,,,,,
混沌：光辉支配者靴子,鞋,2000280293,玄冥精灵重甲套装,74,5,,,,,,,,,,,,,,,,,,
混沌：记忆支配者腰带,腰带,2000230278,玄冥精灵重甲套装,74,5,,,,,,,,,,,,,,,,,,
混沌：黄金庇佑甲胄,上衣,2000090301,灿烂的荣誉套装,75,5,,,,1,,,,,,,1,,,,,1,,
混沌：黄金庇佑战靴,鞋,2000290296,灿烂的荣誉套装,75,5,,,,1,,,,,,,1,,,,,1,,
混沌：黄金庇佑护腰,腰带,2000240281,灿烂的荣誉套装,75,5,,,,1,,,,,,,1,,,,,1,,
混沌：黄金庇佑肩甲,头肩,2000190279,灿烂的荣誉套装,75,5,,,,1,,,,,,,1,,,,,1,,
混沌：黄金庇佑腿甲,下装,2000140296,灿烂的荣誉套装,75,5,,,,1,,,,,,,1,,,,,1,,
混沌：古代宝石守护者腰带,腰带,2000240280,古代遗迹守护者板甲套装,76,5,,,,2,,,,,,,2,,,,,2,,
混沌：古代文献守护者肩甲,头肩,2000190278,古代遗迹守护者板甲套装,76,5,,,,2,,,,,,,2,,,,,2,,
混沌：古代遗迹守护者护腿,下装,2000140295,古代遗迹守护者板甲套装,76,5,,,,2,,,,,,,2,,,,,2,,
混沌：古代遗迹守护者胸甲,上衣,2000090300,古代遗迹守护者板甲套装,76,5,,,,2,,,,,,,2,,,,,2,,
混沌：古代遗迹守护者战靴,鞋,2000290295,古代遗迹守护者板甲套装,76,5,,,,2,,,,,,,2,,,,,2,,
混沌：方寸之决胜者上衣,上衣,2000090299,方寸之决胜者套装,77,5,,,,,,,,,,,,,,,,,,
混沌：方寸之决胜者下装,下装,2000140294,方寸之决胜者套装,77,5,,,,,,,,,,,,,,,,,,
混沌：方寸之决胜者护肩,头肩,2000190277,方寸之决胜者套装,77,5,,,,,,,,,,,,,,,,,,
混沌：方寸之决胜者长靴,鞋,2000290294,方寸之决胜者套装,77,5,,,,,,,,,,,,,,,,,,
混沌：方寸之决胜者腰带,腰带,2000240279,方寸之决胜者套装,77,5,,,,,,,,,,,,,,,,,,
混沌：舰长的烈焰盾胸甲,上衣,2000090302,舰长的烈焰盾套装,78,5,,,,,,,,,,,,,,,,,,
混沌：舰长的烈焰盾绑腿,下装,2000140297,舰长的烈焰盾套装,78,5,,,,,,,,,,,,,,,,,,
混沌：舰长的烈焰盾头盔,头肩,2000190280,舰长的烈焰盾套装,78,5,,,,,,,,,,,,,,,,,,
混沌：舰长的烈焰盾战靴,鞋,2000290297,舰长的烈焰盾套装,78,5,,,,,,,,,,,,,,,,,,
混沌：舰长的烈焰盾腰带,腰带,2000240282,舰长的烈焰盾套装,78,5,,,,,,,,,,,,,,,,,,
混沌：波动谐鸣项链,项链,1900300253,波动谐鸣套装,79,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
混沌：波动谐鸣手镯,手镯,1900310261,波动谐鸣套装,79,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
混沌：波动谐鸣戒指,戒指,1900320252,波动谐鸣套装,79,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
绝望：斗者之护符,辅助装备,1900340256,辅助装备,80,1,,,,,,,,,,,,,,,,,,
恐怖：斗者之护符,辅助装备,1900340249,辅助装备,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
毁灭：斗者之护符,辅助装备,1900340242,辅助装备,80,1,,,,,,,,,,,,,,,,,,
